Id,Label,timeset,count,modularity_class
mrgustavoparodias,Gustavo Paródias,,9320000,39
mucamuricoca,Muca Muriçoca,,8690000,396
mudub,Cassio Toledo,,5720000,415
nJoUTYXU142gxoyDzp-KRQ,Luísa Sonza,,6580000,338
nYjd7cPNluC7Hi9AZrBNMw,LOUD Coringa,,5570000,377
neaglegames,Neagle,,7860000,23
nfUCP_4nSws4KUI4Nkdaig,Maria Venture,,6660000,5
nomegustah,nomegusta,,4901699,433
nsZ4GPxvLUmadQuxwXxaHw,Bruno Vlogs,,4550000,36
o3SoV1pJPQPJSDVKdurksA,Mamute Congelado,,6070000,424
oIrFSMG4kt0hNF6KBgga0w,Dinah Moraes,,5330000,43
oXamg6CYWAptD93iLai2Vw,Maneirando,,6490000,36
oficialtribo,Tribo da Periferia,,7430000,37
olnnUYyz7CWjhzpF1kASnw,NOW UNITED,,7650000,327
oqCOvZxkz2HMOC6vXkXBAQ,Carol & Vitoria,,5980000,392
pO4C7n86oFyCtlpiVPtcDA,By Pamella,,6860000,5
panicopgm,Programa Pânico Lab,,9670000,38
paulaloma29,Julia Silva,,4730000,26
programagalofrito,Galo Frito,,10700000,326
r4ARxgElIO21GWfIraZezg,Free Fire - Brasil,,9370000,39
rKj1r2Q7UIeltxsUneeZyQ,COMÉDIA SELVAGEM,,8180000,409
raissachaddad,Raissa Chaddad,,5040000,40
ratodequermesse,Projota,,6600000,346
sDOsk0C5r5TnkGDnKzrYFw,Belgas TV,,7130000,41
saB2VrLZrtGbum6Eo0ClbA,Virgínia Fonseca,,9500000,26
sikera1000,Sikera Junior,,4910000,381
sirkazzio,SirKazzio,,4990000,367
therosacuca,Kim RosaCuca,,8070000,26
thiagosouzapires,Thiago Ventura,,5830000,353
thigas,O Primo Rico,,5040000,42
ugD1HAP3INAiXo70S_sAFQ,Pabllo Vittar,,7460000,352
uzezNFePF6UzsORJSKbOJg,BAK,,4650000,398
vFA2VabfW8wnVJXB3hm1Bg,Melim,,5880000,371
vcsabiagames,Você Sabia PLUS,,5020000,387
vgfiEUr4w7DaCyEoxkdkOw,As Aventuras de Poliana,,7630000,369
videosei,TNT Sports Brasil,,7770000,335
voicemakers1,Voice Makers,,4890000,420
xFRrC-Xup5LVd7tyt0AGAQ,Ideias Incríveis GIRLS,,4810000,26
z2A8OXLR2xwYE63zWbu7IA,Wiris Viana,,4920000,43
-5Yj4HIiruwkzFuLflxL_w,Natural HealthCare,,2910000,44
43FtzoqAtvCIZ5dJKkNhmg,Zee Cinemalu,,3280000,44
LsSLka8jODBozvi5VTQeaQ,Zee Music South,,3980000,44
Mallemalatv,mallemalatv,,6330000,44
NiharikaMovies,Niharika Movies,,2980000,44
Ntvteluguhd,NTV Telugu,,5430000,44
ShemarooKannada,Shemaroo Kannada,,3000000,44
SriBalajiMovies,SriBalajiMovies,,13300000,44
TV5newschannel,TV5 News,,2920000,44
Tseriestelugu,T-Series Telugu,,5570000,44
Tv9telugulive,TV9 Telugu Live,,7870000,44
V6NewsTelugu,V6 News Telugu,,6810000,44
Wunderbarstudios,Wunderbar Studios,,5220000,44
abntelugutv,ABN Telugu,,4020000,44
adityamusic,Aditya Music,,19400000,44
dilraju,Dil Raju,,4360000,44
etv2india,ETV Andhra Pradesh,,4170000,44
etvplusindia,ETV Plus India,,4710000,44
gFyj4ZYwFOhaosUvrYne_w,Bhavani HD Movies,,5550000,44
geethaarts,Geetha Arts,,4480000,44
idreammovies,iDream Telugu Movies,,4180000,44
jbBFvK04b-O3foSNabdrOA,Shanmukh Jaswanth,,3950000,44
laharimusic,Lahari Music | T-Series,,12100000,44
maatv,Star Maa,,4820000,44
mangomusic,Mango Music,,5780000,44
newvolgavideo,Volga Video,,13800000,44
oY_p16GEbOQPgES1-wXpYg,ETV Dhee,,8070000,44
publictvnewskannada,Public TV | ಪಬ್ಲಿಕ್ ಟಿವಿ,,3720000,44
sonymusicsouthvevo,SonyMusicSouthVEVO,,13900000,44
sureshproductions,Suresh Productions,,4880000,44
suvarnanews,Asianet Suvarna News,,3000000,44
telugufilmnagar,Telugu Filmnagar,,9720000,44
teluguone,TeluguOne,,7820000,44
tv9kannadanews,Tv9 Kannada,,4320000,44
zeekannada,Zee Kannada,,4810000,44
zeetvtelugu,Zee Telugu,,11500000,44
-68yVCdXC2ZJSypRV4FmVQ,T-STUDIO ES,,4230000,474
AhCvfihfURg47Ai4NCIr3A,LAY TV & Family,,4660000,474
FMEYTv6N64hIL9FlQ_hxBw,ĐÔNG TÂY PROMOTION OFFICIAL,,7330000,474
Htvonlinetube,HTV Entertainment,,6550000,474
Q6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,,4310000,474
_-mvlzR-E0UNWs6O8TgThQ,RedhoodVN,,5870000,474
_np0YZuvNMIJceE6jHeggQ,LA LA SCHOOL,,4940000,474
htv2channel,Vie Channel - HTV2,,9310000,474
m3WWxht28Rv8VvR-k-BYLw,TOY PLANET - Hành tinh đồ chơi,,5050000,474
qL0-EknCK4m5pHrH79fOcw,TRẤN THÀNH TOWN,,4990000,474
ruaM4824Rr_ry7fsD5Jwag,THVL Giải Trí,,4560000,474
vinhlongtv,Truyen Hinh Vinh Long,,4550000,474
-69vhXlCa3XHbF8JHCQHfg,Aya Nakamura,,6060000,497
LalgerinoOfficiel,L'Algerino,,7730000,497
-6N7qlNd4KIzfSy1mrR2kw,พี่เสือ มาแล้ว,,3010000,45
-chqi3Gpb4F7yBqedlnq5g,Ananped,,4500000,45
0TnoMtL2J9OsXU4jgvO_ag,108Life,,5890000,45
1heMiOB4n8xeOlgnHbOdbg,ชีวิตสดใส / Bright Side Thai,,3110000,45
25QRZSv1OIjJRYLepOeZog,SAMSEARN OFFICIAL,,3180000,45
40TILDWXk2AKPpyPrPnJKw,MonDEV,,5000000,45
5Hs50ZHlWisPs5MM2kb3GA,Meijimill,,3370000,45
61PCszexp0rEaX6h1sKCxg,TopSib Thailand,,5880000,45
6W59uNv35j461kbYyIM8UQ,MR.B,,6030000,45
79u_tfhqjGIi1tgWsJEG7Q,กาย หงิด,,4250000,45
BisEhOzorThHuoKSGH4M5g,King SoYer,,3640000,45
CFpLJsWMYgI72Mb8vxmWEw,Lovely Kids Thailand,,5830000,45
DeklaaonChannel,Deklaaon Channel,,3320000,45
ExZenFireChannel,TAE,,6950000,45
GXO4eSJEmdjYL5cCC4-CYA,Kyutae Oppa,,7000000,45
GsvhicQf1Db3I1VfU2qN7A,Nate & Mee,,3790000,45
GtLb3H7G3KgxNB3uF39VWA,My Pony,,5160000,45
HEj6tiT_WSe8Ny0OfcILiA,SoftpomzChannel,,3410000,45
IcpITw20T4_cpwVH3QePHQ,Chickypie,,5010000,45
IfmX_7CyJOpIeEKrp79M6g,Brianna's Secret Club TH,,6680000,45
InNES_Pi2bJKvZv_Q_3C7Q,KRK Channel,,5120000,45
KO4KD_9pNbonpU50IIVTMQ,MNJ TV,,6330000,45
Kutcha55,Kutcha Wants2playz,,3100000,45
Lb_G1z0A6W3BrDhW9cJmmA,ดอยแม่สลอง สื่อสังคมออนไลน์,,4030000,45
Modify2011,PojzPlaza,,7490000,45
NC8rytL3wRBIUbLXIgKG1g,VAST Studio,,3490000,45
NoteZaMan,HeHaa TV,,7990000,45
Okyoulikes,OKyouLIKEs,,4600000,45
RFYcjzOZ0ZcXc1bYf8GPqQ,Kamsing Family Channel,,4440000,45
TheFirstTVCH,DJ.DREAMERTH,,4220000,45
TheTha2007,Happy Channel,,4730000,45
U9EmcAvpj2bt5xCfHXyiqg,เอ็มวีดี ซีรีส์ม่วน,,3300000,45
Ufnk5CgUjykoc-BezLMMIA,สวัสดีครับผม แจ็กแปปโฮ,,3150000,45
UoV88OKSJS8nOun8YY0XWw,Epic Time,,4960000,45
VIzv4PnqfQnbgkCyrFqcvw,SorDor Style,,4360000,45
Xcrosz,Xcrosz,,3600000,45
Xqhn8lb1DyMlInkx1Qtq5w,CLASSIC NU,,3200000,45
Zr7drqblTlL3Xr1XvBZxXw,Troom Troom TH,,3220000,45
ZsT9krMMpA-gQ21dRaLFaw,OAUJUN HI-END,,3610000,45
_hOlm5C3ttRFcGP5WL9sSw,UDiEX2,,8720000,45
a7a1ekrFPdvDW76lEHjo3A,The Inner Studio,,6640000,45
bbtvch7,Ch7HD,,13000000,45
bjxYa1F_1Lbm-IA5yAgWxg,CGGG,,7990000,45
bomberball,Bie The Ska,,13000000,45
iHQ5AywCFKF6q-C5dIguVQ,SpriteDer SPD,,6540000,45
igsRUvOKCw3SJbnS_XloGw,Thanks For Watching,,3050000,45
kayNutticha,Kaykai Salaider,,15400000,45
lPhAgp7q-uqKq5Qt0P8OMA,The Snack,,3760000,45
ni0RryGg4KQJd7jVqPpXZw,กิต งายย,,3750000,45
